# step 0
# iter abs_residual rel_residual
0 1.6854906995050803e+03 1.0000000000000000e+00
1 8.4085554321611414e+02 4.9887877961178845e-01
2 5.9281013730625091e+02 3.5171368046131668e-01
3 5.3525652622281382e+02 3.1756717873316304e-01
4 4.1135409324289225e+02 2.4405598521764632e-01
5 3.6713342027659144e+02 2.1781990276445595e-01
6 3.0957470103174347e+02 1.8367037036908335e-01
7 2.7717023084833335e+02 1.6444482958566328e-01
8 2.4459368337303471e+02 1.4511719551158370e-01
9 2.2057311371333643e+02 1.3086581479097126e-01
10 1.9970248177429127e+02 1.1848328907002037e-01
11 1.8142602183084909e+02 1.0763988308219215e-01
12 1.6689207685601031e+02 9.9016907601457385e-02
13 1.5262214722603358e+02 9.0550572169190158e-02
14 1.4188243910096594e+02 8.4178713737564761e-02
15 1.3048511700720829e+02 7.7416693575065906e-02
16 1.2219260291606474e+02 7.2496752994213973e-02
17 1.1291296228147830e+02 6.6991151190946077e-02
18 1.0629172223415642e+02 6.3062775882042801e-02
19 9.8611860149626565e+01 5.8506321143499927e-02
20 9.3184777143503439e+01 5.5286438050868976e-02
21 8.6740836094616682e+01 5.1463254066063287e-02
22 8.2198888296929013e+01 4.8768520835543921e-02
23 7.6727401327301777e+01 4.5522292914361176e-02
24 7.2861723531815954e+01 4.3228790021333688e-02
25 6.8168979167422648e+01 4.0444589333800220e-02
26 6.4833176428751628e+01 3.8465460798916863e-02
27 6.0772397748486803e+01 3.6056204739861056e-02
28 5.7860853202482524e+01 3.4328788179888811e-02
29 5.4320330017851028e+01 3.2228199202642527e-02
30 5.1754589126234890e+01 3.0705947615986173e-02
31 4.8646208977031961e+01 2.8861748683226912e-02
32 4.6365946423701750e+01 2.7508871118254424e-02
33 4.3617459474713087e+01 2.5878196472707157e-02
34 4.1570646665330145e+01 2.4663824414775326e-02
35 3.9128497898329712e+01 2.3214899915982464e-02
36 3.7318913612491599e+01 2.2141275311367635e-02
37 3.5215509845905380e+01 2.0893327893322638e-02
38 3.3650277050830120e+01 1.9964676791578279e-02
39 3.1766491465253935e+01 1.8847028627676024e-02
40 3.0334817078927554e+01 1.7997617600521279e-02
41 2.8703941838390911e+01 1.7030020899444536e-02
42 2.7454960823315794e+01 1.6289001672555974e-02
43 2.5982325597422840e+01 1.5415288618947686e-02
44 2.4881333197529809e+01 1.4762070894153167e-02
45 2.3600907388678348e+01 1.4002395501564268e-02
46 2.2600253480533173e+01 1.3408708506768625e-02
47 2.1480696160002900e+01 1.2744476232535957e-02
48 2.0600084374176053e+01 1.2222010112678145e-02
49 1.9598460422942985e+01 1.1627747592257725e-02
50 1.8833460441281566e+01 1.1173873843867390e-02
51 1.7945139879105866e+01 1.0646834114466009e-02
52 1.7269370877474120e+01 1.0245901020127264e-02
53 1.6497507574718732e+01 9.7879552699774511e-03
54 1.5895580754539571e+01 9.4308326703950816e-03
55 1.5228816815265695e+01 9.0352422708338976e-03
56 1.4700593469427041e+01 8.7218478712126121e-03
57 1.4122441464138618e+01 8.3788308462843884e-03
58 1.3669532850207212e+01 8.1101206041783967e-03
59 1.3167395477930304e+01 7.8122029874129343e-03
60 1.2787468878939608e+01 7.5867929041046984e-03
61 1.2356576786032955e+01 7.3311450426046748e-03
62 1.2043020806306879e+01 7.1451125834412115e-03
63 1.1681576740599727e+01 6.9306681692339516e-03
64 1.1428319063955206e+01 6.7804106349035114e-03
65 1.1135752632230233e+01 6.6068312542454750e-03
66 1.0937939582759975e+01 6.4894689635319504e-03
67 1.0711280029733949e+01 6.3549920701900997e-03
68 1.0566223927595541e+01 6.2689304252453943e-03
69 1.0400523558530391e+01 6.1706205567223556e-03
70 1.0304580788164406e+01 6.1136978039630805e-03
71 1.0194555746898287e+01 6.0484200535142491e-03
72 1.0150686298182460e+01 6.0223923520687835e-03
73 1.0098084111679769e+01 5.9911835257500526e-03
74 1.0106381681121109e+01 5.9961064656652808e-03
75 1.0101106984854853e+01 5.9929769934778613e-03
76 1.0156189665439275e+01 6.0256574945334856e-03
77 1.0202274405393158e+01 6.0529995261254816e-03
78 1.0310980418947437e+01 6.1174946987100588e-03
79 1.0403013914563289e+01 6.1720980825453273e-03
80 1.0558577403793034e+01 6.2643937500772955e-03
81 1.0702691917151025e+01 6.3498967513102942e-03
82 1.0908241210209543e+01 6.4718489478539322e-03
83 1.1096816322719626e+01 6.5837303795138373e-03
84 1.1352659897652337e+01 6.7355221247948028e-03
85 1.1593594246147525e+01 6.8784682404665976e-03
86 1.1893012953737198e+01 7.0561130697602828e-03
87 1.2183821263389047e+01 7.2286493582946780e-03
88 1.2533285910679007e+01 7.4359863951543740e-03
89 1.2870012045025311e+01 7.6357656846189666e-03
90 1.3264999781837643e+01 7.8701115264134744e-03
91 1.3650585471025096e+01 8.0988791424558976e-03
92 1.4086022605698780e+01 8.3572235728354566e-03
93 1.4520068329659404e+01 8.6147424805862235e-03
94 1.4994167552750545e+01 8.8960250905883737e-03
95 1.5466088137726638e+01 9.1760151167063868e-03
96 1.5976901929706145e+01 9.4790804448802533e-03
97 1.6468291481059712e+01 9.7706213898987315e-03
98 1.6951049186481999e+01 1.0057041069084170e-02
