# step time_phys step_time_s gmres_time_s cfl umax
0 0.000000000 0.007131385 0.002454934 0.002417 1.350222e-05
1 0.000010000 0.002507058 0.002438064 0.002417 2.697324e-05
2 0.000020000 0.002525068 0.002439098 0.002417 4.041314e-05
3 0.000030000 0.002461665 0.002423929 0.002417 5.382203e-05
4 0.000040000 0.002518653 0.002426314 0.002417 6.719999e-05
5 0.000050000 0.002478704 0.002421389 0.002417 8.054712e-05
6 0.000060000 0.002491289 0.002419751 0.002417 9.386351e-05
7 0.000070000 0.002455019 0.002413910 0.002417 1.071493e-04
8 0.000080000 0.002508018 0.002415205 0.002417 1.204044e-04
9 0.000090000 0.002455839 0.002411077 0.002417 1.336292e-04
10 0.000100000 0.002467709 0.002408697 0.002417 1.468235e-04
11 0.000110000 0.002459467 0.002405781 0.002417 1.599876e-04
12 0.000120000 0.002557738 0.002410695 0.002417 1.731215e-04
13 0.000130000 0.002454294 0.002407802 0.002417 1.862253e-04
14 0.000140000 0.002497597 0.002408297 0.002417 1.992990e-04
15 0.000150000 0.002451830 0.002405939 0.002417 2.123429e-04
16 0.000160000 0.002370969 0.002399090 0.002417 2.253569e-04
17 0.000170000 0.002379131 0.002393431 0.002417 2.383412e-04
18 0.000180000 0.002373608 0.002388043 0.002417 2.512958e-04
19 0.000190000 0.002436448 0.002386264 0.002417 2.642209e-04
20 0.000200000 0.002370413 0.002381609 0.002417 2.771165e-04
21 0.000210000 0.002369773 0.002377374 0.002417 2.899827e-04
22 0.000220000 0.002365700 0.002373332 0.002417 3.028196e-04
23 0.000230000 0.002375133 0.002370023 0.002417 3.156273e-04
24 0.000240000 0.002370161 0.002366777 0.002417 3.284058e-04
25 0.000250000 0.006261540 0.002363826 0.002417 3.411554e-04
26 0.000260000 0.002369595 0.002360988 0.002417 3.538759e-04
27 0.000270000 0.002369220 0.002358376 0.002417 3.665677e-04
28 0.000280000 0.002365660 0.002355826 0.002417 3.792306e-04
29 0.000290000 0.002369536 0.002353563 0.002417 3.918648e-04
30 0.000300000 0.002370817 0.002351375 0.002417 4.044705e-04
31 0.000310000 0.002379782 0.002349686 0.002417 4.170476e-04
32 0.000320000 0.002451180 0.002350251 0.002417 4.295962e-04
33 0.000330000 0.002416627 0.002349631 0.002417 4.421166e-04
34 0.000340000 0.002380912 0.002348110 0.002417 4.546086e-04
35 0.000350000 0.002368896 0.002346415 0.002417 4.670725e-04
36 0.000360000 0.002368684 0.002344815 0.002417 4.795082e-04
37 0.000370000 0.002373233 0.002343423 0.002417 4.919160e-04
38 0.000380000 0.002404219 0.002342851 0.002417 5.042958e-04
39 0.000390000 0.002478250 0.002344048 0.002417 5.166477e-04
40 0.000400000 0.002377890 0.002342879 0.002417 5.289719e-04
41 0.000410000 0.002367092 0.002341520 0.002417 5.412684e-04
42 0.000420000 0.002370947 0.002340313 0.002417 5.535373e-04
43 0.000430000 0.002366609 0.002339062 0.002417 5.657787e-04
44 0.000440000 0.002370520 0.002337947 0.002417 5.779926e-04
45 0.000450000 0.002408341 0.002337660 0.002417 5.901791e-04
46 0.000460000 0.002383889 0.002336890 0.002417 6.023384e-04
47 0.000470000 0.002369707 0.002335873 0.002417 6.144705e-04
48 0.000480000 0.002375029 0.002334982 0.002417 6.265755e-04
49 0.000490000 0.002428728 0.002334608 0.002417 6.386534e-04
50 0.000500000 0.009203777 0.002333781 0.002417 6.507044e-04
51 0.000510000 0.002507129 0.002334735 0.002417 6.627284e-04
52 0.000520000 0.002495141 0.002335833 0.002417 6.747257e-04
53 0.000530000 0.002391747 0.002334959 0.002417 6.866963e-04
54 0.000540000 0.002383435 0.002334084 0.002417 6.986402e-04
55 0.000550000 0.002386252 0.002333292 0.002417 7.105576e-04
56 0.000560000 0.002390315 0.002332587 0.002417 7.224484e-04
57 0.000570000 0.002387248 0.002331846 0.002417 7.343129e-04
58 0.000580000 0.002395170 0.002331276 0.002417 7.461510e-04
59 0.000590000 0.002386788 0.002330590 0.002417 7.579629e-04
60 0.000600000 0.002389100 0.002329963 0.002417 7.697486e-04
61 0.000610000 0.002383331 0.002329265 0.002417 7.815082e-04
62 0.000620000 0.002388197 0.002328659 0.002417 7.932418e-04
63 0.000630000 0.002402766 0.002328283 0.002417 8.049494e-04
64 0.000640000 0.002394225 0.002327662 0.002417 8.166312e-04
65 0.000650000 0.002392783 0.002327168 0.002417 8.282872e-04
66 0.000660000 0.002387014 0.002326614 0.002417 8.399174e-04
67 0.000670000 0.002387230 0.002326080 0.002417 8.515221e-04
68 0.000680000 0.002384338 0.002325519 0.002417 8.631011e-04
69 0.000690000 0.002389459 0.002325052 0.002417 8.746547e-04
70 0.000700000 0.002387407 0.002324562 0.002417 8.861828e-04
71 0.000710000 0.002385994 0.002324070 0.002417 8.976856e-04
72 0.000720000 0.002386907 0.002323597 0.002417 9.091631e-04
73 0.000730000 0.002385951 0.002323138 0.002417 9.206154e-04
74 0.000740000 0.002383255 0.002322654 0.002417 9.320426e-04
75 0.000750000 0.009439587 0.002322348 0.002417 9.434448e-04
76 0.000760000 0.002391611 0.002321941 0.002417 9.548220e-04
77 0.000770000 0.002386465 0.002321524 0.002417 9.661743e-04
78 0.000780000 0.002384015 0.002321092 0.002417 9.775017e-04
79 0.000790000 0.002411460 0.002321015 0.002417 9.888044e-04
80 0.000800000 0.002372102 0.002320639 0.002417 1.000082e-03
81 0.000810000 0.002384607 0.002320416 0.002417 1.011336e-03
82 0.000820000 0.002373412 0.002320038 0.002417 1.022565e-03
83 0.000830000 0.002371746 0.002319681 0.002417 1.033769e-03
84 0.000840000 0.002367609 0.002319289 0.002417 1.044949e-03
