# step 7
# iter abs_residual rel_residual
0 7.2278104865856122e+01 1.0000000000000000e+00
1 1.1546600861378695e+03 1.5975240195918946e+01
2 1.1527745212178302e+03 1.5949152559510399e+01
3 1.1585072720811820e+03 1.6028467739038025e+01
4 1.2484330970660308e+03 1.7272631862485170e+01
5 1.4402468346335756e+03 1.9926460956697582e+01
6 1.2677694538265623e+03 1.7540159031278797e+01
7 1.4124522130187429e+03 1.9541909899826102e+01
8 1.3004236603872334e+03 1.7991944625564585e+01
9 1.3783981910459388e+03 1.9070757231448781e+01
10 1.3232324643110499e+03 1.8307514658372558e+01
11 1.3547601259457604e+03 1.8743713998314078e+01
12 1.3364428175016149e+03 1.8490285820055377e+01
13 1.3388396176532729e+03 1.8523446625199703e+01
14 1.3429152194657795e+03 1.8579834404321343e+01
15 1.3277325809219553e+03 1.8369775790139329e+01
16 1.3450051727474392e+03 1.8608749845388022e+01
17 1.3195692023744191e+03 1.8256831786382076e+01
18 1.3443069584335362e+03 1.8599089737182378e+01
19 1.3132163294674806e+03 1.8168936940235668e+01
20 1.3418458874577141e+03 1.8565039716358093e+01
21 1.3079856800725122e+03 1.8096568559732663e+01
22 1.3382737217493391e+03 1.8515617201545279e+01
23 1.3034526903327419e+03 1.8033852613483333e+01
24 1.3340055733936485e+03 1.8456565454635037e+01
25 1.2993510853092857e+03 1.7977105068274884e+01
26 1.3293075319954010e+03 1.8391565944659408e+01
27 1.2955114809363936e+03 1.7923982419583165e+01
28 1.3243513570100517e+03 1.8322995040724564e+01
29 1.2918249965136454e+03 1.7872978254081175e+01
30 1.3192485335175356e+03 1.8252395188916239e+01
31 1.2882212246109480e+03 1.7823118453393462e+01
32 1.3140716232905993e+03 1.8180770313906795e+01
33 1.2846546044784300e+03 1.7773772664110005e+01
34 1.3088677968895929e+03 1.8108773041556276e+01
35 1.2810958289398404e+03 1.7724535408302117e+01
36 1.3036675101266437e+03 1.8036824741685926e+01
37 1.2775263299629260e+03 1.7675149788915178e+01
38 1.2984901357275737e+03 1.7965193444646818e+01
39 1.2739346838593976e+03 1.7625457754097798e+01
40 1.2933476589186973e+03 1.7894044971420790e+01
41 1.2703142383667582e+03 1.7575367266814563e+01
42 1.2882471280000348e+03 1.7823476838400026e+01
43 1.2666615286041708e+03 1.7524830388884983e+01
44 1.2831922934619370e+03 1.7753540935300748e+01
45 1.2629752087375152e+03 1.7473828500090342e+01
46 1.2781847130465135e+03 1.7684258814183750e+01
47 1.2592553284022958e+03 1.7422362287160116e+01
48 1.2732245007395948e+03 1.7615632052094117e+01
49 1.2555028382765026e+03 1.7370444903150705e+01
50 1.2683108376846876e+03 1.7547649319784981e+01
51 1.2517192522214509e+03 1.7318097293012421e+01
52 1.2634423194673664e+03 1.7480291186552837e+01
53 1.2479064168610780e+03 1.7265345005615718e+01
54 1.2586171941769774e+03 1.7413533413927997e+01
55 1.2440663539074721e+03 1.7212216012254135e+01
56 1.2538335239642147e+03 1.7347349190896129e+01
57 1.2402011533656560e+03 1.7158739229084599e+01
58 1.2490892942222483e+03 1.7281710644468113e+01
59 1.2363129023427070e+03 1.7104943532169674e+01
60 1.2443824862328552e+03 1.7216589844771875e+01
61 1.2324036388408051e+03 1.7050857118183622e+01
62 1.2397111252386867e+03 1.7151959470153749e+01
63 1.2284753213123420e+03 1.6996507083193720e+01
64 1.2350733099324871e+03 1.7087793215175051e+01
65 1.2245298121523622e+03 1.6941919194270753e+01
66 1.2304672309080902e+03 1.7024066045889892e+01
67 1.2205688672011579e+03 1.6887117744252723e+01
68 1.2258911806653543e+03 1.6960754338267940e+01
69 1.2165941326620648e+03 1.6832125509101150e+01
70 1.2213435565415900e+03 1.6897835918752037e+01
71 1.2126071450101720e+03 1.6776963746638057e+01
72 1.2168228618943456e+03 1.6835290080622570e+01
73 1.2086093333562667e+03 1.6721652229252193e+01
74 1.2123277032805154e+03 1.6773097544969168e+01
75 1.2046020237635184e+03 1.6666209303622285e+01
76 1.2078567863304565e+03 1.6711240403607249e+01
77 1.2005864443533219e+03 1.6610651961358688e+01
78 1.2034089109064441e+03 1.6649702052093090e+01
79 1.1965637310932061e+03 1.6554995919081684e+01
80 1.1989829658824297e+03 1.6588467117499427e+01
81 1.1925349333508573e+03 1.6499255695263891e+01
82 1.1945779226392033e+03 1.6527521368418128e+01
83 1.1885010204008761e+03 1.6443444700254158e+01
84 1.1901928302450046e+03 1.6466851648281757e+01
85 1.1844628864371934e+03 1.6387575305626598e+01
86 1.1858268092531384e+03 1.6406445789550830e+01
87 1.1804213570129266e+03 1.6331658933278877e+01
88 1.1814790463259130e+03 1.6346292539333565e+01
89 1.1763771933481451e+03 1.6275706115032090e+01
90 1.1771487897142847e+03 1.6286381496844765e+01
91 1.1723310979318876e+03 1.6219726570137176e+01
92 1.1728353439133714e+03 1.6226703039462425e+01
93 1.1682837191193698e+03 1.6163729268879354e+01
94 1.1685380650347201e+03 1.6167248258700994e+01
95 1.1642356550283469e+03 1.6107722486486043e+01
96 1.1642563576281109e+03 1.6108008916239594e+01
97 1.1601874578314314e+03 1.6051713862513004e+01
98 1.1599896696470771e+03 1.6048977374267757e+01
99 1.1561396376417392e+03 1.5995710454604003e+01
100 1.1557374897017448e+03 1.5990146557477193e+01
101 1.1520926651013610e+03 1.5939718774303460e+01
102 1.1514993435950360e+03 1.5931509905138638e+01
103 1.1480469756750881e+03 1.5883744846462083e+01
