# step 0
# iter abs_residual rel_residual
0 3.3477982273428077e+06 1.0000000000000000e+00
1 1.6738900726284767e+06 4.9999729940626247e-01
2 1.1205528939728704e+06 3.3471339007854972e-01
3 8.8555674352505780e+05 2.6451915061438336e-01
4 8.9222532588260621e+05 2.6651108140133567e-01
5 6.9241592003483849e+05 2.0682725571081334e-01
6 6.4888565001341375e+05 1.9382459931835347e-01
7 5.7127528154455812e+05 1.7064208854605523e-01
8 5.1432496428109083e+05 1.5363081325522937e-01
9 4.8231590076307545e+05 1.4406958484648463e-01
10 4.2892983778979129e+05 1.2812296580079099e-01
11 4.1479369824888528e+05 1.2390044742275659e-01
12 3.6931746606249636e+05 1.1031652476727326e-01
13 3.6249116310000228e+05 1.0827748223874184e-01
14 3.2498059292540071e+05 9.7072932971633163e-02
15 3.2117219724325801e+05 9.5935350768787730e-02
16 2.9051431806787668e+05 8.6777726236644134e-02
17 2.8790709470390761e+05 8.5998938750984202e-02
18 2.6284117406847252e+05 7.8511653397072584e-02
19 2.6065582040090856e+05 7.7858879986263257e-02
20 2.4006967533686533e+05 7.1709720548902928e-02
21 2.3797972019025424e+05 7.1085443037330817e-02
22 2.2096668190810166e+05 6.6003584117877337e-02
23 2.1884744532675974e+05 6.5370560130937727e-02
24 2.0468997818111780e+05 6.1141671116655971e-02
25 2.0250642335985586e+05 6.0489435028044665e-02
26 1.9064239079184248e+05 5.6945603601432665e-02
27 1.8839775690840327e+05 5.6275122965799854e-02
28 1.7838729815398905e+05 5.3284961052021775e-02
29 1.7609935996284144e+05 5.2601545255794538e-02
30 1.6759720999259772e+05 5.0061920883930293e-02
31 1.6528743712990000e+05 4.9371982988679355e-02
32 1.5802114383180410e+05 4.7201513681793067e-02
33 1.5570997721619013e+05 4.6511159467271489e-02
34 1.4946318236736231e+05 4.4645218205397415e-02
35 1.4716821718327166e+05 4.3959703419784960e-02
36 1.4176794590542372e+05 4.2346621952167901e-02
37 1.3950347225057962e+05 4.1670215101734312e-02
38 1.3481048775509855e+05 4.0268402872684309e-02
39 1.3258763494259247e+05 3.9604428325368056e-02
40 1.2848910324331984e+05 3.8380181396207788e-02
41 1.2631622126403781e+05 3.7731133325886457e-02
42 1.2272010788614050e+05 3.6656960650685654e-02
43 1.2060321172682891e+05 3.6024635756663655e-02
44 1.1743397746748703e+05 3.5077973489667548e-02
45 1.1537717503909388e+05 3.4463598820491131e-02
46 1.1257244895809169e+05 3.3625816525819106e-02
47 1.1057832096249532e+05 3.3030162946905799e-02
48 1.0808631211341468e+05 3.2285790472863785e-02
49 1.0615623464987328e+05 3.1709269030269757e-02
50 1.0393370530289740e+05 3.1045391103331512e-02
51 1.0206811697269203e+05 3.0488132808919273e-02
52 1.0007878532670967e+05 2.9893911917787095e-02
53 9.8277404530675631e+04 2.9355832656820458e-02
54 9.6490677917804875e+04 2.8822130655822356e-02
55 9.4752677803293263e+04 2.8302983444285928e-02
56 9.3142641917631030e+04 2.7822059632177890e-02
57 9.1466789864918377e+04 2.7321476281895518e-02
58 9.0011397484181260e+04 2.6886745069945421e-02
59 8.8396165782587661e+04 2.6404269247955508e-02
60 8.7076581969242950e+04 2.6010104569042920e-02
61 8.5520234936910041e+04 2.5545217820605814e-02
62 8.4320305639307291e+04 2.5186794398368937e-02
63 8.2820968033512108e+04 2.4738936581386574e-02
64 8.1726786627468027e+04 2.4412100454553283e-02
65 8.0282496854394456e+04 2.3980685633529279e-02
66 7.9282048793680384e+04 2.3681848011672915e-02
67 7.7890800243279649e+04 2.3266276804591840e-02
68 7.6973670385868289e+04 2.2992326645373526e-02
69 7.5633443084273342e+04 2.2591995678396849e-02
70 7.4790573528303561e+04 2.2340227352251704e-02
71 7.3499358363261912e+04 2.1954536495946274e-02
72 7.2722847221217191e+04 2.1722589679169013e-02
73 7.1478664036768547e+04 2.1350947453455737e-02
74 7.0761597524579236e+04 2.1136756972580054e-02
75 6.9562508635670078e+04 2.0778584583600421e-02
76 6.8898820409702617e+04 2.0580338398825348e-02
77 6.7742940245685400e+04 2.0235072619491132e-02
78 6.7127293118162153e+04 2.0051176492629302e-02
79 6.6012795095915426e+04 1.9718271715649563e-02
80 6.5440481201917675e+04 1.9547319389633187e-02
81 6.4365602158320289e+04 1.9226248951511073e-02
82 6.3832458411334163e+04 1.9066996896643571e-02
